File Name,Maintainer,Competency Level,Size
__init__.py,Alessio Izzo,AB,4
__init__.py,Ash Berlin-Taylor,AB,4
__init__.py,Brandon Sandrowicz,AB,4
__init__.py,Braulio Valdivielso Martínez,AB,4
__init__.py,Bruno Alla,AB,4
__init__.py,Bryce Boe,AB,4
__init__.py,Cory Benfield,AB,4
__init__.py,Dan Blanchard,AB,4
__init__.py,Dmitry Dygalo,AB,4
__init__.py,Donald Stufft,AB,4
__init__.py,Harrison Jackson,AB,4
__init__.py,Hugo Osvaldo Barrera,AB,4
__init__.py,Ian Cordasco,AB,4
__init__.py,Johannes,AB,4
__init__.py,Johannes Gorset,AB,4
__init__.py,John Vandenberg,AB,4
__init__.py,Jon Dufresne,AB,4
__init__.py,Kenneth Reitz,AB,4
__init__.py,Kevin Burke,AB,4
__init__.py,Luca De Vitis,AB,4
__init__.py,Lyndsy Simon,AB,4
__init__.py,Markus Unterwaditzer,AB,4
__init__.py,Moin,AB,4
__init__.py,Nate Prewitt,AB,4
__init__.py,Richard Jones,AB,4
__init__.py,Riyad Parvez,AB,4
__init__.py,Seth Michael Larson,AB,4
__init__.py,Shrayas,AB,4
__init__.py,Sorin Sbarnea,AB,4
__init__.py,Stan Hu,AB,4
__init__.py,Steve Berdy,AB,4
__init__.py,Taylor Rose,AB,4
__init__.py,Thomas Weißschuh,AB,4
__init__.py,Wong Hoi Sing Edison,AB,4
__init__.py,Zack Weinberg,AB,4
__init__.py,aless10,AB,4
__init__.py,apr,AB,4
__init__.py,ayanamist,AB,4
__init__.py,jbrendel,AB,4
__version__.py,Cory Benfield,A,1
__version__.py,Kenneth Reitz,A,1
__version__.py,Nate Prewitt,A,1
__version__.py,Sorin Sbarnea,A,1
_internal_utils.py,Brian Bamsch,AB,4
_internal_utils.py,Nate Prewitt,AB,4
adapters.py,Alexander 'Leo' Bergolth,AB,3
adapters.py,Alexander Shchapov,AB,3
adapters.py,Arthur Vigil,AB,3
adapters.py,Bastien Gérard,AB,3
adapters.py,Ben Bass,AB,3
adapters.py,Carson Lam,AB,3
adapters.py,Chris Gavin,AB,3
adapters.py,Chris Lee,AB,3
adapters.py,Cory Benfield,AB,3
adapters.py,Daniel Lindsley,AB,3
adapters.py,Darjus Loktevic,AB,3
adapters.py,David Pursehouse,AB,3
adapters.py,Dimitris Bliablias,AB,3
adapters.py,Erik Wickstrom,AB,3
adapters.py,Florian Mueller,AB,3
adapters.py,Graham Dumpleton,AB,3
adapters.py,Hugo Osvaldo Barrera,AB,3
adapters.py,Ian Cordasco,AB,3
adapters.py,Jason Grout,AB,3
adapters.py,Jonas Laursen,AB,3
adapters.py,Jonathan Elliott Blum,AB,3
