File Name,Maintainer,Competency Level,Size
__init__.py,Adrian Moennich,AB,2
__init__.py,Armin Ronacher,AB,2
__init__.py,Cory Benfield,AB,2
__init__.py,Daniel Neuhäuser,AB,2
__init__.py,David Lord,AB,2
__init__.py,INADA Naoki,AB,2
__init__.py,Ian Lewis,AB,2
__init__.py,Kartheek Lenkala,AB,2
__init__.py,Marc Abramowitz,AB,2
__init__.py,ThiefMAster,AB,2
__init__.py,Thomas Waldmann,AB,2
__init__.py,Étienne Pelletier,AB,2
_identifier.py,David Lord,A,2
async_utils.py,David Lord,AB,3
async_utils.py,Jeff Dairiki,AB,3
async_utils.py,Mohamed Akram,AB,3
bccache.py,Armin Ronacher,AB,3
bccache.py,Cory Benfield,AB,3
bccache.py,David Lord,AB,3
bccache.py,David Vitek,AB,3
bccache.py,Georg Brandl,AB,3
bccache.py,Jon Dufresne,AB,3
bccache.py,Kyle Adams,AB,3
bccache.py,Marc Abramowitz,AB,3
bccache.py,Marcin Mincer,AB,3
bccache.py,Max Ischenko,AB,3
bccache.py,Min ho Kim,AB,3
bccache.py,Thomas Waldmann,AB,3
bccache.py,Tim Hanus,AB,3
bccache.py,Tomas Hoger,AB,3
bccache.py,Wing,AB,3
bccache.py,pre-commit-ci[bot],AB,3
cache_extension.py,Armin Ronacher,AB,3
cache_extension.py,David Lord,AB,3
cache_extension.py,jenisys,AB,3
compiler.py,Adrian Moennich,AB,4
compiler.py,Amy,AB,4
compiler.py,Armin Ronacher,AB,4
compiler.py,Christoph Hack,AB,4
compiler.py,Cory Benfield,AB,4
compiler.py,Daniel Stone,AB,4
compiler.py,Daniel Watkins,AB,4
compiler.py,David Lord,AB,4
compiler.py,Florian Mounier,AB,4
compiler.py,Ian Lewis,AB,4
compiler.py,Jonas Nockert,AB,4
compiler.py,Martin Krizek,AB,4
compiler.py,Steve Norum,AB,4
compiler.py,Takuto Ikuta,AB,4
compiler.py,Teymour Aldridge,AB,4
compiler.py,ThiefMaster,AB,4
compiler.py,Thomas Waldmann,AB,4
compiler.py,Tomas Krizek,AB,4
compiler.py,Unknown,AB,4
compiler.py,angelafrentz,AB,4
conf.py,Armin Ronacher,AB,3
conf.py,David Lord,AB,3
conf.py,Kevin Brown,AB,3
conftest.py,Adrian Moennich,A,2
conftest.py,Alex Chan,A,2
conftest.py,Armin Ronacher,A,2
conftest.py,Christoph Hack,A,2
conftest.py,Danny Sepler,A,2
conftest.py,David Lord,A,2
conftest.py,EtiennePelletier,A,2
conftest.py,Kartheek Lenkala,A,2
conftest.py,Ralph Giles,A,2
conftest.py,Rene Leonhardt,A,2
constants.py,Armin Ronacher,A,1
constants.py,David Lord,A,1
cycle.py,Armin Ronacher,A,2
cycle.py,David Lord,A,2
cycle.py,cclauss,A,2
debug.py,Antti Haapala,AB,3
debug.py,Armin Ronacher,AB,3
debug.py,Cory Benfield,AB,3
debug.py,Daniel Neuhäuser,AB,3
debug.py,David Lord,AB,3
debug.py,Georg Brandl,AB,3
debug.py,Thomas Moschny,AB,3
debug.py,Thomas Waldmann,AB,3
debug.py,Victor Stinner,AB,3
debug.py,Zac Medico,AB,3
debug.py,rbtcollins,AB,3
debugger.py,Armin Ronacher,A,2
debugger.py,David Lord,A,2
debugger.py,cclauss,A,2
defaults.py,Adrian Moennich,AB,3
defaults.py,Ali Afshar,AB,3
defaults.py,Armin Ronacher,AB,3
defaults.py,Bebleo,AB,3
defaults.py,Christoph Hack,AB,3
defaults.py,David Lord,AB,3
defaults.py,Kristi Tsukida,AB,3
defaults.py,Peter Harris,AB,3
defaults.py,Thomas Waldmann,AB,3
defaults.py,W. Trevor King,AB,3
environment.py,Abhishek Kumar Singh,AB,4
environment.py,Adrian Moennich,AB,4
environment.py,Amy,AB,4
environment.py,Armin Ronacher,AB,4
environment.py,Carl A Dunham,AB,4
environment.py,Christoph Hack,AB,4
environment.py,Christopher Grebs,AB,4
environment.py,Daniel Hahler,AB,4
environment.py,David Lord,AB,4
environment.py,Dmitry Jemerov,AB,4
environment.py,Eli Boyarski,AB,4
environment.py,Georg Brandl,AB,4
environment.py,INADA Naoki,AB,4
environment.py,Ian Lewis,AB,4
environment.py,Kristi Tsukida,AB,4
environment.py,Lakin Wecker,AB,4
environment.py,Lukas Meuser,AB,4
environment.py,Markus Unterwaditzer,AB,4
environment.py,Martin Krizek,AB,4
environment.py,Mr. Senko,AB,4
environment.py,Raphael Boidol,AB,4
environment.py,Sebastian Noack,AB,4
environment.py,Simon Willison,AB,4
environment.py,Teymour Aldridge,AB,4
environment.py,ThiefMaster,AB,4
environment.py,Thomas Waldmann,AB,4
environment.py,Tom Brouwer,AB,4
environment.py,Tomas Krizek,AB,4
environment.py,W. Trevor King,AB,4
environment.py,Wing,AB,4
environment.py,cocoatomo,AB,4
environment.py,fsp,AB,4
environment.py,luzpaz,AB,4
environment.py,pgjones,AB,4
environment.py,richierichrawr,AB,4
exceptions.py,Alex Morega,AB,4
exceptions.py,Andrew Rabert,AB,4
exceptions.py,Armin Ronacher,AB,4
exceptions.py,Benjamin Wiegand,AB,4
exceptions.py,Daniel Neuhäuser,AB,4
exceptions.py,David Lord,AB,4
exceptions.py,Julien Palard,AB,4
exceptions.py,Priit Laes,AB,4
exceptions.py,Simon Sapin,AB,4
exceptions.py,Thomas Waldmann,AB,4
ext.py,Adrian Moennich,AB,4
ext.py,Armin Ronacher,AB,4
ext.py,Benjamin Wiegand,AB,4
ext.py,Daniel Neuhäuser,AB,4
ext.py,David Lord,AB,4
ext.py,FawziyahAlebiosu,AB,4
ext.py,Florian Apolloner,AB,4
ext.py,Sardorbek Imomaliev,AB,4
ext.py,Shaheed Haque,AB,4
ext.py,Teymour Aldridge,AB,4
ext.py,Thomas Waldmann,AB,4
ext.py,Unknown,AB,4
ext.py,W. Trevor King,AB,4
filters.py,Aaron Swartz,AB,4
filters.py,Alan Plum,AB,4
filters.py,Alessandro -oggei- Ogier,AB,4
filters.py,Andrew Arendt,AB,4
filters.py,AquarHEAD L,AB,4
filters.py,Armin Ronacher,AB,4
filters.py,BALaka-18,AB,4
filters.py,Bebleo,AB,4
filters.py,Ben Timms,AB,4
filters.py,Benjamin Wiegand,AB,4
filters.py,Berker Peksag,AB,4
filters.py,Brandon W Maister,AB,4
filters.py,Brendan,AB,4
filters.py,Carl A Dunham,AB,4
filters.py,Chase Sterling,AB,4
filters.py,Christoph Hack,AB,4
filters.py,Christoph Zwerschke,AB,4
filters.py,Christopher Grebs,AB,4
filters.py,Daniel Neuhäuser,AB,4
filters.py,David Lord,AB,4
filters.py,Dick Visser,AB,4
filters.py,Eric Sh,AB,4
filters.py,Erik Johnson,AB,4
filters.py,Florian Heinle,AB,4
filters.py,Francisco Jiménez Cabrera,AB,4
filters.py,Georg Brandl,AB,4
filters.py,Hans Meine,AB,4
filters.py,Hyunjun Kim,AB,4
filters.py,Imran Iqbal,AB,4
filters.py,Jochen Kupperschmidt,AB,4
filters.py,John Boxall,AB,4
filters.py,John McDonnell,AB,4
filters.py,Jon Dufresne,AB,4
filters.py,Josh Mize,AB,4
filters.py,Kevin,AB,4
filters.py,Kevin Broch,AB,4
filters.py,Lars Kollstedt,AB,4
filters.py,Lukas Meuser,AB,4
filters.py,Mark Hansen,AB,4
filters.py,Markus Amalthea Magnuson,AB,4
filters.py,Markus Unterwaditzer,AB,4
filters.py,Matt Martz,AB,4
filters.py,Matteo Ferrando,AB,4
filters.py,Mohamed Abdelaal,AB,4
filters.py,Ned Jackson Lovely,AB,4
filters.py,Oleg Pesok,AB,4
filters.py,PinkFloyded,AB,4
filters.py,Priit Laes,AB,4
filters.py,Ricardo Lafuente,AB,4
filters.py,Ronny Pfannschmidt,AB,4
filters.py,Roy Revelt,AB,4
filters.py,Sam Bull,AB,4
filters.py,Sean Sabbage,AB,4
filters.py,Sebastian Noack,AB,4
filters.py,Steven Maude,AB,4
filters.py,Tassilo Schweyer,AB,4
filters.py,Teymour Aldridge,AB,4
filters.py,Thomas Waldmann,AB,4
filters.py,Tim Vergenz,AB,4
filters.py,Todd Lewis,AB,4
filters.py,jab,AB,4
filters.py,jeff,AB,4
filters.py,jfinkels,AB,4
filters.py,kracekumar,AB,4
filters.py,lisongmin,AB,4
filters.py,luzpaz,AB,4
filters.py,mayur-srivastava,AB,4
filters.py,sevas,AB,4
filters.py,tedder,AB,4
filters.py,Étienne Pelletier,AB,4
generate_identifier_pattern.py,David Lord,AB,4
idtracking.py,Adrian Moennich,AB,4
idtracking.py,Armin Ronacher,AB,4
idtracking.py,David Lord,AB,4
idtracking.py,Takuto Ikuta,AB,4
inheritance.py,Armin Ronacher,A,2
inheritance.py,Christoph Hack,A,2
inheritance.py,David Lord,A,2
inheritance.py,Thomas Waldmann,A,2
inheritance.py,cclauss,A,2
inline_gettext_extension.py,David Lord,AB,3
lexer.py,Adam Spiers,AB,4
lexer.py,Adrian Moennich,AB,4
lexer.py,Alex Mykyta,AB,4
lexer.py,Ali Afshar,AB,4
lexer.py,Amy,AB,4
lexer.py,Andrey Lisin,AB,4
lexer.py,Armin Ronacher,AB,4
lexer.py,CleoQc,AB,4
lexer.py,David Lord,AB,4
lexer.py,Dmitry Jemerov,AB,4
lexer.py,Georg Brandl,AB,4
lexer.py,Kristi Tsukida,AB,4
lexer.py,Mark Roth,AB,4
lexer.py,Matěj Volf,AB,4
lexer.py,Peter Dolak,AB,4
lexer.py,Thomas Waldmann,AB,4
lexer.py,W. Trevor King,AB,4
lexer.py,fsp,AB,4
loaders.py,Alex Chan,AB,4
loaders.py,Alex Morega,AB,4
loaders.py,Anthony Sottile,AB,4
loaders.py,Armin Ronacher,AB,4
loaders.py,Berker Peksag,AB,4
loaders.py,Bryan Berg,AB,4
loaders.py,Daniel Neuhäuser,AB,4
loaders.py,David Lord,AB,4
loaders.py,Lakin Wecker,AB,4
loaders.py,Marcelo Jorge Vieira,AB,4
loaders.py,Thomas Waldmann,AB,4
loaders.py,Tilman Klaeger,AB,4
loaders.py,Xinbin Huang,AB,4
loaders.py,Éric Araujo,AB,4
meta.py,Armin Ronacher,AB,3
meta.py,Brendan,AB,3
meta.py,David Lord,AB,3
meta.py,Markus Unterwaditzer,AB,3
meta.py,Thomas Waldmann,AB,3
nativetypes.py,David Lord,AB,3
nativetypes.py,James Tanner,AB,3
nativetypes.py,Martin Krizek,AB,3
nativetypes.py,Teymour Aldridge,AB,3
nativetypes.py,remidebette,AB,3
nodes.py,Adrian Moennich,AB,4
nodes.py,Adriano Scoditti,AB,4
nodes.py,Amy,AB,4
nodes.py,Armin Ronacher,AB,4
nodes.py,Benjamin Wiegand,AB,4
